"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Any product added from the listing appears in the cart with quantity one.","1077","addedProductAppearsInTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"After an order, Back Home returns to a catalogue with an empty cart.","907","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"Name A-Z is the default ordering when the page first loads.","1716","productsAreSortedByNameByDefault","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsAreSortedByNameByDefault"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","572","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"Choosing Name (Z to A) reverses the alphabetical order.","1575","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
"A request for a resource that does not exist is answered with 404, not 200.","1992","missingResourceReturnsNotFound","SauceDemo API","2026-09-22","passed","2026-09-22","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Choosing Price (low to high) orders the catalogue by ascending price.","1183","productsCanBeSortedByPriceAscending","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceAscending"
"Cancelling the summary returns to the catalogue with the cart intact.","859","cancellingTheSummaryReturnsToTheCatalogue","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheSummaryReturnsToTheCatalogue"
"Cancelling step one returns to the cart with the products intact.","625","cancellingTheFormReturnsToTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheFormReturnsToTheCart"
"A known post is returned with the expected fields and identifier.","662","singlePostIsReturnedWithTheExpectedShape","SauceDemo API","2026-09-22","passed","2026-09-22","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","singlePostIsReturnedWithTheExpectedShape"
"The locked-out account is refused even with the correct password.","1630","lockedOutUserCannotSignIn","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","lockedOutUserCannotSignIn"
"Any product added from the listing appears in the cart with quantity one.","2110","addedProductAppearsInTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Continue shopping returns to the listing without discarding the cart.","1790","continueShoppingKeepsTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","continueShoppingKeepsTheCart"
"The users collection is non-empty and every entry carries an email address.","109","usersCollectionIsWellFormed","SauceDemo API","2026-09-22","passed","2026-09-22","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","usersCollectionIsWellFormed"
"Every invalid combination is refused with a message that explains why.","861","invalidCredentialsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Adding a product flips its button to Remove and increments the cart badge.","1054","addingAProductUpdatesButtonAndBadge","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingAProductUpdatesButtonAndBadge"
"A query parameter filters the collection and every row matches the filter.","2908","commentsCanBeFilteredByPost","SauceDemo API","2026-09-22","passed","2026-09-22","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","commentsCanBeFilteredByPost"
"Requesting the inventory URL directly, with no session, is refused rather than served - a basic broken-access-control check.","980","inventoryCannotBeReachedWithoutSigningIn","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","inventoryCannotBeReachedWithoutSigningIn"
"Removing the last line leaves an empty cart and no badge at all.","1178","emptyingTheCartRemovesTheBadge","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","emptyingTheCartRemovesTheBadge"
"Choosing Price (high to low) orders the catalogue by descending price.","1509","productsCanBeSortedByPriceDescending","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceDescending"
"Any product added from the listing appears in the cart with quantity one.","1845","addedProductAppearsInTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Removing a line from the cart page updates both the list and the badge.","1843","removingFromTheCartUpdatesTheBadge","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","removingFromTheCartUpdatesTheBadge"
"Signing out returns the user to the login screen.","1210","userCanSignOut","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","userCanSignOut"
"Reset App State from the burger menu empties the cart.","1572","resetAppStateEmptiesTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","resetAppStateEmptiesTheCart"
"Removing a product returns its button to Add to cart and clears the badge.","1602","removingAProductClearsTheBadge","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","removingAProductClearsTheBadge"
"Each required field on checkout step one is enforced with its own message.","464","incompleteDetailsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Every invalid combination is refused with a message that explains why.","1220","invalidCredentialsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The standard account signs in and lands on the product list.","1609","standardUserCanSignIn","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","standardUserCanSignIn"
"Any product added from the listing appears in the cart with quantity one.","1797","addedProductAppearsInTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Every invalid combination is refused with a message that explains why.","960","invalidCredentialsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The catalogue shows the full set of six products, each with a price.","1567","allProductsAreListed","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","allProductsAreListed"
"Nested resources are reachable and belong to their parent.","2940","postsForAUserAllBelongToThatUser","SauceDemo API","2026-09-22","passed","2026-09-22","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postsForAUserAllBelongToThatUser"
"Each required field on checkout step one is enforced with its own message.","683","incompleteDetailsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Every invalid combination is refused with a message that explains why.","589","invalidCredentialsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","857","invalidCredentialsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The badge counts every product added, and the cart lists them all.","2355","badgeCountsEveryAddedProduct","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","badgeCountsEveryAddedProduct"
"Every invalid combination is refused with a message that explains why.","1056","invalidCredentialsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Adding from the details page updates the cart, and the state survives navigating back to the listing.","1141","addingFromTheDetailsPagePersists","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingFromTheDetailsPagePersists"
"A POST echoes the submitted body back with a new identifier and 201 Created.","2946","postCreatesAResource","SauceDemo API","2026-09-22","passed","2026-09-22","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postCreatesAResource"
"The end-to-end happy path: sign in, add two products, check out, confirm.","711","customerCanCompleteAnOrder","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","customerCanCompleteAnOrder"
"Each required field on checkout step one is enforced with its own message.","687","incompleteDetailsAreRejected","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"The summary lists exactly the products in the cart and its item total equals the sum of their prices.","822","orderSummaryMatchesTheCart","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","orderSummaryMatchesTheCart"
"The error banner can be dismissed with its close button.","1496","errorBannerCanBeDismissed","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"The details page shows the same name, description and price as the listing.","2110","productDetailsMatchTheListing","SauceDemo regression","2026-09-22","passed","2026-09-22","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productDetailsMatchTheListing"
"A read stays inside a coarse response-time budget - a cheap early warning that something has slowed down.","125","readStaysWithinTheResponseTimeBudget","SauceDemo API","2026-09-22","passed","2026-09-22","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","readStaysWithinTheResponseTimeBudget"
