"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Choosing Price (high to low) orders the catalogue by descending price.","1214","productsCanBeSortedByPriceDescending","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceDescending"
"A POST echoes the submitted body back with a new identifier and 201 Created.","3252","postCreatesAResource","SauceDemo API","2026-09-23","passed","2026-09-23","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postCreatesAResource"
"A query parameter filters the collection and every row matches the filter.","3217","commentsCanBeFilteredByPost","SauceDemo API","2026-09-23","passed","2026-09-23","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","commentsCanBeFilteredByPost"
"Adding from the details page updates the cart, and the state survives navigating back to the listing.","1444","addingFromTheDetailsPagePersists","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingFromTheDetailsPagePersists"
"Every invalid combination is refused with a message that explains why.","1073","invalidCredentialsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The error banner can be dismissed with its close button.","1479","errorBannerCanBeDismissed","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"A known post is returned with the expected fields and identifier.","680","singlePostIsReturnedWithTheExpectedShape","SauceDemo API","2026-09-23","passed","2026-09-23","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","singlePostIsReturnedWithTheExpectedShape"
"The standard account signs in and lands on the product list.","957","standardUserCanSignIn","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","standardUserCanSignIn"
"The badge counts every product added, and the cart lists them all.","1684","badgeCountsEveryAddedProduct","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","badgeCountsEveryAddedProduct"
"Removing a line from the cart page updates both the list and the badge.","1494","removingFromTheCartUpdatesTheBadge","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","removingFromTheCartUpdatesTheBadge"
"Any product added from the listing appears in the cart with quantity one.","1209","addedProductAppearsInTheCart","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Removing a product returns its button to Add to cart and clears the badge.","1216","removingAProductClearsTheBadge","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","removingAProductClearsTheBadge"
"The locked-out account is refused even with the correct password.","905","lockedOutUserCannotSignIn","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","lockedOutUserCannotSignIn"
"Cancelling step one returns to the cart with the products intact.","635","cancellingTheFormReturnsToTheCart","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheFormReturnsToTheCart"
"Each required field on checkout step one is enforced with its own message.","586","incompleteDetailsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Each required field on checkout step one is enforced with its own message.","697","incompleteDetailsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Every invalid combination is refused with a message that explains why.","704","invalidCredentialsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","709","invalidCredentialsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Signing out returns the user to the login screen.","898","userCanSignOut","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","userCanSignOut"
"The users collection is non-empty and every entry carries an email address.","136","usersCollectionIsWellFormed","SauceDemo API","2026-09-23","passed","2026-09-23","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","usersCollectionIsWellFormed"
"Cancelling the summary returns to the catalogue with the cart intact.","588","cancellingTheSummaryReturnsToTheCatalogue","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheSummaryReturnsToTheCatalogue"
"Every invalid combination is refused with a message that explains why.","1064","invalidCredentialsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Name A-Z is the default ordering when the page first loads.","1365","productsAreSortedByNameByDefault","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsAreSortedByNameByDefault"
"A request for a resource that does not exist is answered with 404, not 200.","2308","missingResourceReturnsNotFound","SauceDemo API","2026-09-23","passed","2026-09-23","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Removing the last line leaves an empty cart and no badge at all.","1122","emptyingTheCartRemovesTheBadge","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","emptyingTheCartRemovesTheBadge"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","782","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"The catalogue shows the full set of six products, each with a price.","1676","allProductsAreListed","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","allProductsAreListed"
"Any product added from the listing appears in the cart with quantity one.","1197","addedProductAppearsInTheCart","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Reset App State from the burger menu empties the cart.","1617","resetAppStateEmptiesTheCart","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","resetAppStateEmptiesTheCart"
"Adding a product flips its button to Remove and increments the cart badge.","1173","addingAProductUpdatesButtonAndBadge","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingAProductUpdatesButtonAndBadge"
"A read stays inside a coarse response-time budget - a cheap early warning that something has slowed down.","163","readStaysWithinTheResponseTimeBudget","SauceDemo API","2026-09-23","passed","2026-09-23","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","readStaysWithinTheResponseTimeBudget"
"The details page shows the same name, description and price as the listing.","2227","productDetailsMatchTheListing","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productDetailsMatchTheListing"
"Choosing Name (Z to A) reverses the alphabetical order.","1370","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
"Requesting the inventory URL directly, with no session, is refused rather than served - a basic broken-access-control check.","735","inventoryCannotBeReachedWithoutSigningIn","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","inventoryCannotBeReachedWithoutSigningIn"
"Every invalid combination is refused with a message that explains why.","1173","invalidCredentialsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Nested resources are reachable and belong to their parent.","3243","postsForAUserAllBelongToThatUser","SauceDemo API","2026-09-23","passed","2026-09-23","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postsForAUserAllBelongToThatUser"
"The summary lists exactly the products in the cart and its item total equals the sum of their prices.","1061","orderSummaryMatchesTheCart","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","orderSummaryMatchesTheCart"
"Any product added from the listing appears in the cart with quantity one.","1001","addedProductAppearsInTheCart","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Every invalid combination is refused with a message that explains why.","1394","invalidCredentialsAreRejected","SauceDemo regression","2026-09-23","passed","2026-09-23","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
