"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Every invalid combination is refused with a message that explains why.","679","invalidCredentialsAreRejected","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"A known post is returned with the expected fields and identifier.","677","singlePostIsReturnedWithTheExpectedShape","SauceDemo API","2026-09-24","passed","2026-09-24","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","singlePostIsReturnedWithTheExpectedShape"
"Any product added from the listing appears in the cart with quantity one.","1082","addedProductAppearsInTheCart","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"A request for a resource that does not exist is answered with 404, not 200.","2081","missingResourceReturnsNotFound","SauceDemo API","2026-09-24","passed","2026-09-24","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Cancelling the summary returns to the catalogue with the cart intact.","571","cancellingTheSummaryReturnsToTheCatalogue","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheSummaryReturnsToTheCatalogue"
"After an order, Back Home returns to a catalogue with an empty cart.","654","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"The summary lists exactly the products in the cart and its item total equals the sum of their prices.","618","orderSummaryMatchesTheCart","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","orderSummaryMatchesTheCart"
"Requesting the inventory URL directly, with no session, is refused rather than served - a basic broken-access-control check.","717","inventoryCannotBeReachedWithoutSigningIn","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","inventoryCannotBeReachedWithoutSigningIn"
"Each required field on checkout step one is enforced with its own message.","461","incompleteDetailsAreRejected","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Adding from the details page updates the cart, and the state survives navigating back to the listing.","752","addingFromTheDetailsPagePersists","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingFromTheDetailsPagePersists"
"Any product added from the listing appears in the cart with quantity one.","914","addedProductAppearsInTheCart","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Continue shopping returns to the listing without discarding the cart.","673","continueShoppingKeepsTheCart","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","continueShoppingKeepsTheCart"
"Removing a product returns its button to Add to cart and clears the badge.","512","removingAProductClearsTheBadge","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","removingAProductClearsTheBadge"
"A POST echoes the submitted body back with a new identifier and 201 Created.","3019","postCreatesAResource","SauceDemo API","2026-09-24","passed","2026-09-24","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postCreatesAResource"
"Choosing Name (Z to A) reverses the alphabetical order.","807","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-24","passed","2026-09-24","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
