"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The error banner can be dismissed with its close button.","1632","errorBannerCanBeDismissed","SauceDemo regression","2026-09-20","passed","2026-09-20","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"A POST echoes the submitted body back with a new identifier and 201 Created.","2351","postCreatesAResource","SauceDemo API","2026-09-20","passed","2026-09-20","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postCreatesAResource"
"Each required field on checkout step one is enforced with its own message.","696","incompleteDetailsAreRejected","SauceDemo regression","2026-09-20","passed","2026-09-20","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"The badge counts every product added, and the cart lists them all.","1923","badgeCountsEveryAddedProduct","SauceDemo regression","2026-09-20","passed","2026-09-20","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","badgeCountsEveryAddedProduct"
"Any product added from the listing appears in the cart with quantity one.","1149","addedProductAppearsInTheCart","SauceDemo regression","2026-09-20","passed","2026-09-20","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Choosing Name (Z to A) reverses the alphabetical order.","1640","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-20","passed","2026-09-20","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
"A request for a resource that does not exist is answered with 404, not 200.","1575","missingResourceReturnsNotFound","SauceDemo API","2026-09-20","passed","2026-09-20","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Every invalid combination is refused with a message that explains why.","1028","invalidCredentialsAreRejected","SauceDemo regression","2026-09-20","passed","2026-09-20","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","911","invalidCredentialsAreRejected","SauceDemo regression","2026-09-20","passed","2026-09-20","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"A query parameter filters the collection and every row matches the filter.","2310","commentsCanBeFilteredByPost","SauceDemo API","2026-09-20","passed","2026-09-20","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","commentsCanBeFilteredByPost"
