"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Every invalid combination is refused with a message that explains why.","672","invalidCredentialsAreRejected","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The error banner can be dismissed with its close button.","1372","errorBannerCanBeDismissed","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","765","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"Signing out returns the user to the login screen.","1092","userCanSignOut","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","userCanSignOut"
"Every invalid combination is refused with a message that explains why.","807","invalidCredentialsAreRejected","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Name A-Z is the default ordering when the page first loads.","980","productsAreSortedByNameByDefault","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsAreSortedByNameByDefault"
"After an order, Back Home returns to a catalogue with an empty cart.","934","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"Adding from the details page updates the cart, and the state survives navigating back to the listing.","1375","addingFromTheDetailsPagePersists","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingFromTheDetailsPagePersists"
"Cancelling the summary returns to the catalogue with the cart intact.","935","cancellingTheSummaryReturnsToTheCatalogue","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheSummaryReturnsToTheCatalogue"
"Requesting the inventory URL directly, with no session, is refused rather than served - a basic broken-access-control check.","649","inventoryCannotBeReachedWithoutSigningIn","SauceDemo regression","2026-09-18","passed","2026-09-18","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","inventoryCannotBeReachedWithoutSigningIn"
