"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Requesting the inventory URL directly, with no session, is refused rather than served - a basic broken-access-control check.","818","inventoryCannotBeReachedWithoutSigningIn","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","inventoryCannotBeReachedWithoutSigningIn"
"Each required field on checkout step one is enforced with its own message.","834","incompleteDetailsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"A query parameter filters the collection and every row matches the filter.","2897","commentsCanBeFilteredByPost","SauceDemo API","2026-09-21","passed","2026-09-21","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","commentsCanBeFilteredByPost"
"Any product added from the listing appears in the cart with quantity one.","1497","addedProductAppearsInTheCart","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Every invalid combination is refused with a message that explains why.","746","invalidCredentialsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Each required field on checkout step one is enforced with its own message.","748","incompleteDetailsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Removing the last line leaves an empty cart and no badge at all.","1383","emptyingTheCartRemovesTheBadge","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","emptyingTheCartRemovesTheBadge"
"Every invalid combination is refused with a message that explains why.","911","invalidCredentialsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"After an order, Back Home returns to a catalogue with an empty cart.","858","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"Choosing Price (high to low) orders the catalogue by descending price.","1222","productsCanBeSortedByPriceDescending","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceDescending"
"The end-to-end happy path: sign in, add two products, check out, confirm.","979","customerCanCompleteAnOrder","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","customerCanCompleteAnOrder"
"Every invalid combination is refused with a message that explains why.","760","invalidCredentialsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","1189","invalidCredentialsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Each required field on checkout step one is enforced with its own message.","688","incompleteDetailsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"The error banner can be dismissed with its close button.","1738","errorBannerCanBeDismissed","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"Any product added from the listing appears in the cart with quantity one.","2356","addedProductAppearsInTheCart","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Cancelling step one returns to the cart with the products intact.","639","cancellingTheFormReturnsToTheCart","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheFormReturnsToTheCart"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","597","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"A request for a resource that does not exist is answered with 404, not 200.","2021","missingResourceReturnsNotFound","SauceDemo API","2026-09-21","passed","2026-09-21","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Cancelling the summary returns to the catalogue with the cart intact.","824","cancellingTheSummaryReturnsToTheCatalogue","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheSummaryReturnsToTheCatalogue"
"A read stays inside a coarse response-time budget - a cheap early warning that something has slowed down.","127","readStaysWithinTheResponseTimeBudget","SauceDemo API","2026-09-21","passed","2026-09-21","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","readStaysWithinTheResponseTimeBudget"
"Choosing Name (Z to A) reverses the alphabetical order.","1308","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
"Any product added from the listing appears in the cart with quantity one.","1774","addedProductAppearsInTheCart","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Any product added from the listing appears in the cart with quantity one.","1963","addedProductAppearsInTheCart","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Name A-Z is the default ordering when the page first loads.","1459","productsAreSortedByNameByDefault","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsAreSortedByNameByDefault"
"A known post is returned with the expected fields and identifier.","665","singlePostIsReturnedWithTheExpectedShape","SauceDemo API","2026-09-21","passed","2026-09-21","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","singlePostIsReturnedWithTheExpectedShape"
"Removing a product returns its button to Add to cart and clears the badge.","1776","removingAProductClearsTheBadge","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","removingAProductClearsTheBadge"
"Choosing Price (low to high) orders the catalogue by ascending price.","1619","productsCanBeSortedByPriceAscending","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceAscending"
"Every invalid combination is refused with a message that explains why.","1304","invalidCredentialsAreRejected","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Adding a product flips its button to Remove and increments the cart badge.","1328","addingAProductUpdatesButtonAndBadge","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingAProductUpdatesButtonAndBadge"
"The badge counts every product added, and the cart lists them all.","2397","badgeCountsEveryAddedProduct","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","badgeCountsEveryAddedProduct"
"The catalogue shows the full set of six products, each with a price.","1520","allProductsAreListed","SauceDemo regression","2026-09-21","passed","2026-09-21","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","allProductsAreListed"
"The users collection is non-empty and every entry carries an email address.","122","usersCollectionIsWellFormed","SauceDemo API","2026-09-21","passed","2026-09-21","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","usersCollectionIsWellFormed"
"A POST echoes the submitted body back with a new identifier and 201 Created.","2947","postCreatesAResource","SauceDemo API","2026-09-21","passed","2026-09-21","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postCreatesAResource"
