"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Each required field on checkout step one is enforced with its own message.","649","incompleteDetailsAreRejected","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Reset App State from the burger menu empties the cart.","1752","resetAppStateEmptiesTheCart","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","resetAppStateEmptiesTheCart"
"The standard account signs in and lands on the product list.","1510","standardUserCanSignIn","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","standardUserCanSignIn"
"A request for a resource that does not exist is answered with 404, not 200.","2149","missingResourceReturnsNotFound","SauceDemo API","2026-09-17","passed","2026-09-17","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Every invalid combination is refused with a message that explains why.","1322","invalidCredentialsAreRejected","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Any product added from the listing appears in the cart with quantity one.","1579","addedProductAppearsInTheCart","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Every invalid combination is refused with a message that explains why.","1426","invalidCredentialsAreRejected","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","1376","invalidCredentialsAreRejected","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Any product added from the listing appears in the cart with quantity one.","1270","addedProductAppearsInTheCart","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","712","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"Signing out returns the user to the login screen.","1293","userCanSignOut","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","userCanSignOut"
"Removing a product returns its button to Add to cart and clears the badge.","1852","removingAProductClearsTheBadge","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","removingAProductClearsTheBadge"
"The error banner can be dismissed with its close button.","747","errorBannerCanBeDismissed","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"Choosing Price (high to low) orders the catalogue by descending price.","1584","productsCanBeSortedByPriceDescending","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceDescending"
"Nested resources are reachable and belong to their parent.","7697","postsForAUserAllBelongToThatUser","SauceDemo API","2026-09-17","passed","2026-09-17","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postsForAUserAllBelongToThatUser"
"After an order, Back Home returns to a catalogue with an empty cart.","683","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"Continue shopping returns to the listing without discarding the cart.","1213","continueShoppingKeepsTheCart","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","continueShoppingKeepsTheCart"
"A known post is returned with the expected fields and identifier.","651","singlePostIsReturnedWithTheExpectedShape","SauceDemo API","2026-09-17","passed","2026-09-17","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","singlePostIsReturnedWithTheExpectedShape"
"Each required field on checkout step one is enforced with its own message.","676","incompleteDetailsAreRejected","SauceDemo regression","2026-09-17","passed","2026-09-17","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
