"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Removing a product returns its button to Add to cart and clears the badge.","1637","removingAProductClearsTheBadge","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","removingAProductClearsTheBadge"
"A known post is returned with the expected fields and identifier.","764","singlePostIsReturnedWithTheExpectedShape","SauceDemo API","2026-09-19","passed","2026-09-19","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","singlePostIsReturnedWithTheExpectedShape"
"Every invalid combination is refused with a message that explains why.","971","invalidCredentialsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","1041","invalidCredentialsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Adding a product flips its button to Remove and increments the cart badge.","675","addingAProductUpdatesButtonAndBadge","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingAProductUpdatesButtonAndBadge"
"Each required field on checkout step one is enforced with its own message.","718","incompleteDetailsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Choosing Name (Z to A) reverses the alphabetical order.","2005","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
"The details page shows the same name, description and price as the listing.","1756","productDetailsMatchTheListing","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productDetailsMatchTheListing"
"Signing out returns the user to the login screen.","1328","userCanSignOut","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","userCanSignOut"
"Any product added from the listing appears in the cart with quantity one.","1341","addedProductAppearsInTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Continue shopping returns to the listing without discarding the cart.","1714","continueShoppingKeepsTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","continueShoppingKeepsTheCart"
"Adding from the details page updates the cart, and the state survives navigating back to the listing.","1750","addingFromTheDetailsPagePersists","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingFromTheDetailsPagePersists"
"A request for a resource that does not exist is answered with 404, not 200.","2123","missingResourceReturnsNotFound","SauceDemo API","2026-09-19","passed","2026-09-19","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Requesting the inventory URL directly, with no session, is refused rather than served - a basic broken-access-control check.","924","inventoryCannotBeReachedWithoutSigningIn","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","inventoryCannotBeReachedWithoutSigningIn"
"After an order, Back Home returns to a catalogue with an empty cart.","888","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"The end-to-end happy path: sign in, add two products, check out, confirm.","720","customerCanCompleteAnOrder","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","customerCanCompleteAnOrder"
"Every invalid combination is refused with a message that explains why.","1338","invalidCredentialsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The summary lists exactly the products in the cart and its item total equals the sum of their prices.","1003","orderSummaryMatchesTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","orderSummaryMatchesTheCart"
"Any product added from the listing appears in the cart with quantity one.","1849","addedProductAppearsInTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"The badge counts every product added, and the cart lists them all.","2023","badgeCountsEveryAddedProduct","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","badgeCountsEveryAddedProduct"
"The standard account signs in and lands on the product list.","1463","standardUserCanSignIn","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","standardUserCanSignIn"
"Choosing Price (low to high) orders the catalogue by ascending price.","2247","productsCanBeSortedByPriceAscending","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceAscending"
"Each required field on checkout step one is enforced with its own message.","647","incompleteDetailsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Every invalid combination is refused with a message that explains why.","1083","invalidCredentialsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The error banner can be dismissed with its close button.","2084","errorBannerCanBeDismissed","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"Nested resources are reachable and belong to their parent.","3113","postsForAUserAllBelongToThatUser","SauceDemo API","2026-09-19","passed","2026-09-19","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postsForAUserAllBelongToThatUser"
"The locked-out account is refused even with the correct password.","1674","lockedOutUserCannotSignIn","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","lockedOutUserCannotSignIn"
"The users collection is non-empty and every entry carries an email address.","121","usersCollectionIsWellFormed","SauceDemo API","2026-09-19","passed","2026-09-19","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","usersCollectionIsWellFormed"
"Any product added from the listing appears in the cart with quantity one.","1919","addedProductAppearsInTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Every invalid combination is refused with a message that explains why.","877","invalidCredentialsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","925","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"Removing a line from the cart page updates both the list and the badge.","1566","removingFromTheCartUpdatesTheBadge","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","removingFromTheCartUpdatesTheBadge"
"A read stays inside a coarse response-time budget - a cheap early warning that something has slowed down.","88","readStaysWithinTheResponseTimeBudget","SauceDemo API","2026-09-19","passed","2026-09-19","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","readStaysWithinTheResponseTimeBudget"
"Cancelling step one returns to the cart with the products intact.","628","cancellingTheFormReturnsToTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheFormReturnsToTheCart"
"A POST echoes the submitted body back with a new identifier and 201 Created.","3129","postCreatesAResource","SauceDemo API","2026-09-19","passed","2026-09-19","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postCreatesAResource"
"Each required field on checkout step one is enforced with its own message.","681","incompleteDetailsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Removing the last line leaves an empty cart and no badge at all.","1021","emptyingTheCartRemovesTheBadge","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","emptyingTheCartRemovesTheBadge"
"Every invalid combination is refused with a message that explains why.","983","invalidCredentialsAreRejected","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Reset App State from the burger menu empties the cart.","1456","resetAppStateEmptiesTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","resetAppStateEmptiesTheCart"
"Cancelling the summary returns to the catalogue with the cart intact.","781","cancellingTheSummaryReturnsToTheCatalogue","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheSummaryReturnsToTheCatalogue"
"Choosing Price (high to low) orders the catalogue by descending price.","1922","productsCanBeSortedByPriceDescending","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceDescending"
"A query parameter filters the collection and every row matches the filter.","3076","commentsCanBeFilteredByPost","SauceDemo API","2026-09-19","passed","2026-09-19","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","commentsCanBeFilteredByPost"
"Name A-Z is the default ordering when the page first loads.","1962","productsAreSortedByNameByDefault","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsAreSortedByNameByDefault"
"The catalogue shows the full set of six products, each with a price.","1648","allProductsAreListed","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","allProductsAreListed"
"Any product added from the listing appears in the cart with quantity one.","1966","addedProductAppearsInTheCart","SauceDemo regression","2026-09-19","passed","2026-09-19","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
