"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Choosing Price (high to low) orders the catalogue by descending price.","609","productsCanBeSortedByPriceDescending","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceDescending"
"The summary lists exactly the products in the cart and its item total equals the sum of their prices.","655","orderSummaryMatchesTheCart","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","orderSummaryMatchesTheCart"
"Adding from the details page updates the cart, and the state survives navigating back to the listing.","728","addingFromTheDetailsPagePersists","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingFromTheDetailsPagePersists"
"Any product added from the listing appears in the cart with quantity one.","996","addedProductAppearsInTheCart","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"The error banner can be dismissed with its close button.","2299","errorBannerCanBeDismissed","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","474","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"A read stays inside a coarse response-time budget - a cheap early warning that something has slowed down.","77","readStaysWithinTheResponseTimeBudget","SauceDemo API","2026-09-26","passed","2026-09-26","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","readStaysWithinTheResponseTimeBudget"
"Each required field on checkout step one is enforced with its own message.","439","incompleteDetailsAreRejected","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Each required field on checkout step one is enforced with its own message.","399","incompleteDetailsAreRejected","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Choosing Name (Z to A) reverses the alphabetical order.","831","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
"After an order, Back Home returns to a catalogue with an empty cart.","609","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"Every invalid combination is refused with a message that explains why.","553","invalidCredentialsAreRejected","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"The end-to-end happy path: sign in, add two products, check out, confirm.","632","customerCanCompleteAnOrder","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","customerCanCompleteAnOrder"
"The badge counts every product added, and the cart lists them all.","928","badgeCountsEveryAddedProduct","SauceDemo regression","2026-09-26","passed","2026-09-26","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","badgeCountsEveryAddedProduct"
